coreId;container;uniqueId;category; treatmentName; treatmentresponseType ;In Scope;Champion Challenger Rule;header;Character Count;content;Character Count;hyperlink;image;Product Landing Page;Exists / New;SummaryTooltip
TY116;P;TY116P;Brand;;2;Y;;;;Here Is Where We Belong;23;\products\product-ny116\index.html;;Y;E;
TY116;R;TY116R;Brand;;2;Y;;;;;;\products\product-ny116\index.html;/resources/5db60969-bba5-414d-8e28-b76bb5fe52b2/TY116R.jpg;Y;E;
TY116;H;TY116H;Current Account;;2;Y;;;;;;\products\product-ny116\index.html;/resources/269c103c-5c92-4d5f-94d6-814c784952ef/TY116H.jpg;Y;E;
TY117;I;TY117I;Savings;;1;Y;;Are we meeting all your Business Banking needs?;47;Did you know that as well as Business Current Accounts we also offer Business Savings Accounts?;95;;;Y;E;
TY117;P;TY117P;Savings;;1;Y;;;;Did you know that as well as Business Current Accounts we also offer Business Savings Accounts?;95;;;Y;E;
TY122;I;TY122I;Mortgage;;1;Y;;Exclusive Mortgage rates for our Private customers;50;As a Private Banking customer, we can  offer you an exclusive mortgage range for mortgage balances over £250,000;112;;;Y;E;
TY122;P;TY122P;Mortgage;;1;Y;;;;Whatever you're looking for in a mortgage, we will find the right product for you;81;;;Y;E;
TY123;I;TY123I;Savings;;1;Y;;Private Savings;15;Whatever your needs in life, we offer a selection of savings solutions to help preserve and grow your money;107;;;Y;E;
TY123;P;TY123P;Savings;;1;Y;;;;Private Savings - whatever your needs in life, we offer a selection of savings solutions to help preserve and grow your money;125;;;Y;E;
TY124;I;TY124I;Credit Cards;;1;Y;;Private credit card;19;A credit card that offers everything you would expect from your Yorkshire Bank Private Banking Service;102;;;Y;E;
TY124;P;TY124P;Investment;;1;Y;;;;A credit card that offers everything you would expect from your Yorkshire Bank Private Banking Service;102;;;Y;E;
TY125;P;TY125P;Investment;;1;Y;;;;Private Banking Service - offering a range of solutions that can satisfy your particular financial requirements;111;;;Y;E;
TY125;R;TY125R;Investment;;1;Y;;;;;;;;Y;E;
TY126;I;TY126I;Investment;;1;Y;;Wealth Referral Advice Service;30;Financial planning no matter what your circumstances from our Wealth Referral Partner, Origen Financial Services;112;;;Y;E;
TY126;P;TY126P;Investment;;1;Y;;;;Wealth Referral Advice Service - for all your financial planning needs;70;;;Y;E;
